country,total_commercial_vehicles,telematics_penetration_pct,gdp_growth_forecast
"United
Kingdom",4100000,52,1
France,3800000,44,0.7
Germany,3500000,51,0.2
Italy,4200000,32,0.6
Spain,2900000,34,2.3
Netherlands,1100000,48,1.5
Belgium,780000,41,1.2
Poland,2600000,22,3.5
Sweden,620000,46,1.8
Norway,510000,49,2.1
Denmark,480000,44,1.9
Finland,400000,40,1.1
Austria,530000,38,1
Switzerland,490000,43,1.3
Ireland,290000,35,3.8
Portugal,680000,24,2.1
Czech Republic,740000,28,2.7
Hungary,620000,21,2.9
Romania,810000,16,3.2
Turkey,2200000,18,3
Saudi Arabia,1800000,20,6
UAE,950000,23,4.5
South Africa,1400000,15,1.8
